"ANA_HAT_NO";"ALT_HAT_NO";"ANA_HAT_ADI";"ALT_HAT_ADI";"DURAK_SAYISI";"UZUNLUK"
"51";"0";"TOKÝ SU DEPOSU TRAMVAY";"TOKÝ SU DEPOSU TRAMVAY";"41";"0"
"52";"0";"MERAM DEVLET HASTANESÝ";"MERAM DEVLET HASTANESÝ";"117";"45,115"
"53";"0";"YAZIR DUMLUPINAR";"YAZIR DUMLUPINAR";"88";"38,476"
"55";"0";"BUHARA";"BUHARA";"86";"41,775"
"56";"0";"ÞEYH ÞAMÝL";"ÞEYH ÞAMÝL";"104";"37,797"
"57";"0";"S. EYYUBÝ TRAMVAY";"S. EYYUBÝ TRAMVAY";"57";"17,764"
"58";"0";"BOSNA HERSEK TRAMVAY";"BOSNA HERSEK TRAMVAY";"82";"7,113"
"59";"0";"SANCAK ÖZKON TRAMVAY";"SANCAK";"94";"35,807"
"59";"1";"SANCAK ÖZKON TRAMVAY";"SULTANÞEHÝR";"89";"33,743"
"60";"0";"ÖZNARE TRAMVAY";"ÖZNARE YAZIR TOKÝ TRAMVAY";"116";"44,711"
"62";"0";"HAVA LOJ. KARKENT";"HAVA LOJ KARKENT";"63";"26,623"
"63";"0";"ERENKÖY";"ERENKÖY";"89";"29,717"
"63";"1";"ERENKÖY";"ERENKÖY ÇAY";"104";"37,021"
"64";"0";"SÝLLE";"SÝLLE";"61";"32,057"
"64";"1";"SÝLLE";"SÝLLE MKM";"70";"0"
"65";"0";"MEDRESE KUMKÖPRÜ";"MEDRESE KUMKÖPRÜ";"103";"35,832"
"66";"0";"NÝÞANTAÞI ESENLER";"NÝÞANTAÞI ESENLER";"45";"22,496"
"67";"0";"MÝMAR SÝNAN";"MÝMAR SÝNAN";"77";"27,859"
"68";"0";"HACIKAYMAK";"HACIKAYMAK";"38";"19,061"
"69";"0";"HANAYBAÞI";"HANAYBAÞI";"82";"0"
"70";"0";"HOCACÝHAN";"HOCACÝHAN";"70";"33,586"
"71";"0";"HOCACÝHAN ÞEFÝKCAN";"HOCACÝHAN ÞEFÝKCAN";"66";"0"
"72";"0";"ÇEVRE YOLU AYKENT";"ÇEVRE YOLU AYKENT";"40";"38,425"
"73";"0";"DERE TIP GAR";"DERE TIP GAR";"118";"42,74"
"74";"0";"YENÝ YOL AYANBEY";"YENÝYOL AYANBEY";"73";"0"
"76";"0";"KARATEPE GAZZE ";"KARATEPE GAZZE";"100";"0"
"77";"0";"AÞKAN";"AÞKAN";"109";"33,834"
"79";"0";"AYBAHÇE";"AYBAHÇE";"108";"30,886"
"80";"0";"SANCAK TRAMVAY";"SANCAK TRAMVAY";"50";"0"
"81";"0";"ORTAKONAK DÝVANLAR";"ORTAKONAK DÝVANLAR";"115";"111,754"
"82";"0";"BOSNA SANAYÝ";"BOSNA SANAYÝ";"58";"0"
"83";"0";"MENGENE";"MENGENE";"65";"18,062"
"84";"1";"MERAM TOKÝ";"MERAM TOKÝ 1. ETAP";"105";"62,843"
"84";"2";"MERAM TOKÝ";"MERAM TOKÝ 2. ETAP";"104";"61,709"
"84";"3";"MERAM TOKÝ";"MERAM TOKÝ 1. ETAP EKSPRES";"27";"62,376"
"84";"4";"MERAM TOKÝ";"MERAM TOKÝ 2. ETAP EKSPRES";"27";"63,095"
"86";"0";"YAZIR BARIÞ CAD";"YAZIR BARIÞ CAD";"78";"33,638"
"87";"0";"SÜLEYMANÝYE KAÞ";"SÜLEYMANÝYE KAÞ";"93";"31,238"
"88";"0";"PAMUKÇU";"PAMUKÇU";"154";"59,122"
"89";"0";"ALAKOVA BOYALI KAYHÜYÜK AKTARMA";"BOYALI KAYHÜYÜK";"42";"26,66"
"90";"0";"MENGENE ÝSTÝKLAL 2";"MENGENE ÝSTÝKLAL 2 ";"95";"20,72"
"90";"1";"MENGENE ÝSTÝKLAL 2";"MENGENE ÝSTÝKLAL 2 ALTINYÜZÜK";"98";"0"
"91";"0";"KAÞINHANI";"KAÞINHANI";"126";"50,325"
"92";"0";"ÇARIKLAR";"ÇARIKLAR";"148";"18,883"
